"cor","edad","Region","zona_rec","GSEo","sexo","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12a","P12b","P12c","P13a","P13b","P13c","P13d","P13e","P13f","P13g","P13h","P13i","P13j","P14","P15a","P15b","P15c","P15d","P16a","P16b","P17a","P17b","P17c","P17d","P17e","P17f","P17g","P17h","P17i","P17j","P17k","P17L","P17m","P17n","P17o","P17p","P17q","P17r","P17s","P17t","P17u","P18","P19","P20","P21","P22","P23","P24","P25a","P25b","P25c","P25d","P25e","P25f","P25g","P25h","P25i","P26","P27a","P27b","P27c","P27d","P27e","P27f","P27g","P28","P29","P30","P31","P32","P33a","P33b","P33c","P33d","P33e","P33f","P33g","P34a","P34b","P34c","P34d","P34e","P34f","P35","P36","P37","P38","P39a","P39b","P39c","P39d","P39e","P39f","P39g","P39h","P39i","P40","P41","P42a","P42b","P42c","P42d","P42e","P42f","P42g","P42h","P43","P44","P45","P46","P47","P48a","P48b","P48c","P48d","P48e","P48f","P48g","P48h","P48i","P48j","P49","P50a","P50b","P50c","P50d","P50e","P50f","P50g","P50h","P50i","P50j","P50k","P50L","P50Lo","P51","P52a","P52b","P52c","P52d","P52e","P52f","P52g","P52h","P52i","P52j","P52k","P52L","P53","P54a","P54b","P54c","P54d","P54e","P54f","P55","P56","P57","P58","P59","P60a","P60b","P60c","P60d","P60e","P60f","P61","P62_1","P62_2","P63a","P63b","P63c","P63d","P63e","P63f","P63g","P63h","P63i","P63j","P63k","P63L","P63m","P63n","P63o","P63p","P63q","P63r","P64a","P64b","P64c","P64d","P64e","P64f","P64g","P64h","P64i","P64j","P65","P66","P67","P68a","P68b","P68c","P68d","P69a","P69b","P69c","P69d","P69e","P69f","P69g","P70a","P70b","P70c","P70d","P71_1","P71_2","P71_3","P71_4","P72","P73a","P73b","P73c","P73d","P74a","P74b","P74c","P74d","P74e","P75","P76a","P76b","P77","P78","P79","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P90","P91a","P91b","P91c","P91d","P92a","P92b","P92c","P93","P94","P95","P96","P97p","P97m","P98a","P98b","P98c","P98d","P98e","P98f","P98g","P98h","P98i","P98j","P98k","P98L","P98Lo","P99","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P110","P111","P112","P113","P114","P115","P116a","P116b","P116c","P116d","P116e","P116f","P116g","P116h","P117","P118","P119","P120","P121","P122","P123a","P123b","P123c","P123d","P123e","P124a","P124b","P124c","P124d","P125","P126a","P126b","P126c","P127","P128","P129","P130","P131","P132","P133a","P133b","P134","P135","P136a","P136b","P136c","P136d","P136e","P137","P138","P139a","P139b","P139c","P139d","P140","P141","P142","P143","P144","P145","P146","P147","P148","P149","P150a","P150b","P150c","P150d","P150e","P150f","P150g","P150h","P150i","P150j","P151","NSE_imput","pond","macrozona","p78f","P78a1","P78a2","P79c","P71_1CA","P71_2CA","P71_3CA","P71_4CA"
2407,3,13,1,1,2,45,4,,4,2,,6,1,1,2,3,2,2,2,3,2,3,3,3,2,,3,4,4,3,3,3,3,3,1,4,4,6,4,4,4,4,4,1,1,3,5,6,4,6,4,3,1,1,4,5,4,14,1,2,4,2,2,3,4,1,4,4,3,3,4,4,4,2,3,3,1,3,3,3,3,2,2,1,10,1,10,10,10,10,6,10,6,3,4,5,4,5,4,2,,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,3,3,3,3,2,3,2,2,1,3,3,3,3,3,3,1,3,3,1,1,2,2,2,2,2,2,2,1,1,1,1,,,2,10,5,5,5,5,1,1,1,1,1,1,1,1,4,3,5,4,5,5,1,10,6,3,2,9,9,9,8,6,7,8,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,3,3,3,3,1,1,4,10,10,10,6,2,2,3,3,1,2,3,4,3,1,2,"GOLPE MILITAR",,,,1,3,3,2,3,2,2,2,6,6,3,7,7,2,"VIOLETA PARRA","POR SU SIMPLEZA EN VER LAS COSAS",1,5,3,2,1,3,,3,2,1,3,3,3,3,3,3,3,3,,,,,,,2,1,9,1,1,2,2,2,2,2,2,3,,2,3,1,,1,1,2,1,"N/R PRIVADO",,,6,5,3,5,4,6,1,1,1,3,3,1,1,1,3,4,4,2,3,2,5,4,4,4,4,2,1,2,2,3,2,2,3,1,7,2,3,2,2,3,3,5,2,4,2,4,4,2,2,2,4,4,4,4,2,3,3,,3,1,2,2,8,10,1,1,1,1,1,1,1,1,1,2,,1,0.0707505440474173,3,44,6,5,4,3,,,
2409,3,13,1,3,1,50,3,2,4,2,,3,1,1,1,1,4,3,4,1,1,1,1,3,1,3,4,4,4,4,3,2,4,3,1,1,4,3,7,6,7,3,3,3,3,3,7,4,3,3,4,3,3,6,4,6,6,5,2,5,6,1,2,5,5,5,4,6,6,4,4,5,5,1,1,2,1,1,2,1,2,2,1,8,10,1,10,10,10,10,10,10,10,1,1,7,7,7,7,1,6,1,3,1,2,3,1,1,1,3,1,,1,1,2,5,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"NO ESPECIFICA",1,6,10,7,1,1,5,5,10,1,10,1,1,1,1,1,1,1,1,1,1,6,8,2,2,1,10,10,10,10,10,8,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,,9,7,8,8,3,3,3,3,2,2,2,1,1,1,1,"73 GOLPE DE ESTADO","90 VUELTA A LA DEMOCRACIA","89 CAIDA MURO DE BERLIN","PRIMAVERA ARABE",3,1,1,2,3,1,5,5,3,4,3,6,6,2,"SALVADOR ALLENDE","FUE UN GRAN LIDER POLITICO",1,6,2,1,2,1,4,3,2,1,3,3,2,3,3,4,3,4,6,1,2,1,6,6,3,3,3,1,3,3,3,3,3,3,1,3,,1,4,1,,1,1,1,1,"NO SABE",3,3,5,5,5,5,4,4,3,1,3,3,3,1,1,3,5,5,3,1,5,1,7,7,7,1,1,1,1,1,1,1,3,3,3,1,7,1,7,1,1,1,1,5,2,1,1,1,1,1,2,1,4,4,4,4,5,2,2,3,3,7,,1,,,1,1,1,1,2,1,1,2,1,2,5,3,1.07002259076381,3,4,2,2,2,3,5,10,10
2413,3,13,1,3,2,46,4,,4,2,,7,1,2,2,2,2,1,2,2,4,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,1,7,6,6,5,6,7,2,5,6,5,6,7,7,3,5,3,6,4,5,3,2,1,5,7,1,1,8,3,3,4,3,3,2,5,7,2,2,1,1,2,1,1,2,2,5,,3,10,1,5,7,6,10,10,10,10,3,1,7,7,7,7,1,7,1,1,1,1,1,,1,1,1,1,1,,2,,,2,2,3,2,1,1,2,1,2,1,1,1,3,3,3,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,10,1,3,2,3,2,1,2,1,4,1,1,1,3,2,1,6,6,6,1,10,6,1,2,10,10,10,10,10,3,8,1,7,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,5,10,10,10,3,2,3,3,2,3,4,4,4,2,1,"CELEBRACIÓN DEL 11 SEPT. (INCIDENTES A LO LARGO DE CHILE)","TORRES GEMELAS","TERREMOTO","MUERTE DE MI MARIDO",1,1,3,3,1,7,7,4,4,5,1,5,7,1,"9",,1,9,3,1,2,4,,5,3,2,3,4,4,4,4,4,4,4,6,1,,6,6,6,2,3,3,3,2,3,3,2,3,3,3,3,,2,4,1,,1,2,2,,"NO RESPONDE",77,4,6,6,5,6,6,5,3,3,3,3,3,1,1,1,7,5,4,2,7,1,7,5,6,7,7,1,2,2,2,3,3,3,3,2,8,1,6,1,2,3,1,5,2,1,2,2,1,1,2,4,3,3,4,4,1,2,1,1,4,1,1,2,4,11,1,1,1,1,1,1,1,1,1,1,,2,1.00960691482843,3,99,99,99,,7,10,1,12
2419,3,13,1,3,2,48,4,,1,1,1,1,1,2,2,4,3,3,2,3,3,3,2,2,2,4,4,4,4,3,2,3,4,3,2,2,5,6,7,4,4,4,4,4,5,4,4,5,5,6,6,3,3,3,3,5,4,11,3,3,6,2,2,6,5,4,5,4,4,5,3,4,5,2,2,2,2,2,2,3,3,3,2,5,4,2,4,5,3,4,4,4,5,3,4,5,4,4,3,2,,2,3,2,2,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,1,1,2,2,2,2,2,1,,,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,,2,4,5,6,5,5,5,4,1,1,1,1,1,2,4,5,4,4,3,3,2,6,5,2,2,5,4,7,2,2,5,6,5,3,1,2,2,,,,2,2,2,2,,,,,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,5,6,6,6,3,3,3,3,3,3,4,3,4,4,3,"99","99","99","99",2,3,3,2,2,4,5,5,4,4,3,5,4,3,"9",,,6,3,3,2,3,,3,,8,9,3,4,4,3,3,2,2,,,,,1,1,3,8,8,3,8,3,3,3,8,2,8,3,,,,2,,9,,,4,"NO ESPECIFICA",77,,4,5,4,4,5,4,,,,,,,,,4,5,4,,4,1,5,4,6,4,5,,,,,3,3,3,2,,4,,3,2,2,3,4,5,3,5,5,4,5,5,,2,3,4,4,3,5,2,2,3,4,1,,2,4,3,1,1,2,1,2,2,2,2,2,2,3,4,0.830161271855219,3,99,99,99,,,,,
2423,3,13,1,3,1,52,3,3,4,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,,4,7,7,7,7,1,1,1,1,1,1,1,1,2,2,,1,1,1,1,1,1,18,1,1,4,3,3,7,5,4,4,4,,5,5,5,5,2,1,2,2,2,2,2,2,3,,6,5,2,5,5,5,4,4,4,4,5,4,3,3,3,3,2,,1,2,3,3,3,3,3,3,3,3,3,,,4,4,4,4,3,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,2,6,6,6,5,5,5,5,5,6,6,6,6,2,5,4,4,4,4,5,2,6,5,2,2,6,6,6,5,5,2,6,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,7,6,7,6,4,4,4,4,4,3,4,3,4,4,5,"88","88","88","88",,3,4,4,3,7,5,5,6,6,4,5,4,3,"9",,2,5,2,2,,,,4,3,8,3,3,3,3,4,3,4,3,6,,,,,,8,2,2,2,2,2,2,3,3,2,3,2,"NO ESPECIFICA",2,3,2,,8,,,,"NO ESPECIFICA",,,4,5,5,4,4,5,2,2,3,3,3,3,3,3,5,6,5,2,6,2,3,5,5,5,4,,2,2,2,,,,,,6,2,6,2,2,3,2,5,2,5,4,4,4,5,4,3,3,2,3,2,6,2,3,1,5,2,1,1,,,1,,2,2,2,2,2,2,2,2,5,3,3.28849729655618,3,99,99,99,,,,,
2435,3,8,1,4,1,47,3,3,4,1,2,4,1,1,2,3,4,3,1,2,2,4,1,1,4,4,4,4,4,2,3,3,3,3,1,2,5,5,5,4,3,1,3,1,1,4,3,5,5,5,5,4,3,2,2,2,3,2,2,6,6,1,2,4,5,1,5,4,3,4,4,3,4,1,1,1,1,1,1,3,2,3,1,5,10,2,10,10,10,10,10,10,10,5,3,7,7,7,7,1,7,1,2,1,1,1,1,1,1,1,1,1,1,3,5,5,2,4,5,5,1,1,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,7,7,7,3,10,7,2,1,10,10,10,8,8,1,10,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,10,10,10,6,1,1,1,1,1,1,1,2,5,2,1,"EL TERREMOTO","DELINCUENCIA","ESO SOLAMENTE",,3,,2,3,1,4,5,5,6,5,3,7,7,4,"MICHELLE BACHELET","PORQUE REALIZO COSAS POSITIVAS POR EL PUEBLO SE PREOCUPO POR NOSOTROS",2,5,3,2,1,4,,5,2,1,1,4,4,4,4,4,4,4,6,1,1,,6,6,3,2,1,1,2,1,2,2,2,2,3,3,,,4,1,,2,2,1,1,"NO ESPECIFICA",77,4,7,1,5,3,7,7,1,1,1,1,1,1,1,1,6,5,5,2,7,1,7,6,6,7,7,2,2,2,2,,,,,,8,1,8,1,2,1,3,4,1,2,1,1,4,1,1,2,2,2,2,2,5,2,1,1,3,1,3,1,,,2,2,2,2,2,2,2,2,2,2,3,4,1.6080516507455,4,1,3,3,2,1,8,,
2439,3,8,1,4,2,49,6,,4,1,2,3,1,2,1,1,2,2,2,4,4,1,4,4,4,4,1,4,4,2,2,3,3,3,3,3,1,3,4,4,7,6,1,5,5,5,5,6,6,4,7,4,4,7,6,6,6,18,5,6,7,2,1,8,5,5,5,4,5,5,4,6,6,2,1,3,2,2,2,1,2,4,1,6,6,2,6,6,6,6,5,5,6,1,5,7,5,4,4,1,6,2,2,1,1,3,3,2,2,1,2,2,1,1,4,4,2,5,4,4,4,4,2,2,2,2,1,2,2,2,1,2,2,3,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,2,,2,10,8,1,7,10,10,6,6,1,7,9,7,2,5,4,1,4,7,5,1,10,6,1,2,5,5,5,4,5,5,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,1,2,3,7,8,8,7,2,2,2,2,1,2,2,2,1,1,2,"EL TERREMOTO",,,,2,,,,4,4,5,5,4,6,4,5,5,2,"8",,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,3,4,6,,1,,,,3,1,3,3,3,3,3,2,2,2,2,3,,1,1,1,,1,2,2,1,"NO SABE TODAVIA",77,4,5,6,6,6,5,4,1,2,2,2,1,2,1,1,5,5,5,1,3,1,6,5,5,6,5,1,1,2,1,3,2,2,2,1,6,2,6,1,1,3,2,5,2,5,4,2,2,2,2,3,3,3,2,2,4,3,3,1,3,1,2,1,,,1,1,1,1,1,1,1,1,2,2,2,2,1.57365028190799,4,99,99,99,,1,,,
2447,3,8,1,4,2,50,3,4,4,2,,6,1,1,2,3,2,3,1,1,4,4,1,1,4,4,4,4,4,3,3,3,4,3,3,3,1,1,3,2,3,4,3,2,1,1,1,4,5,5,7,1,1,1,3,4,1,14,2,5,3,2,1,4,2,1,4,1,1,1,1,6,3,3,2,1,2,1,1,2,2,3,2,6,7,1,10,10,10,10,10,10,10,3,1,7,7,7,3,1,5,2,2,1,1,2,1,2,1,1,2,1,1,3,4,4,2,4,4,3,2,2,2,2,3,2,1,2,3,3,1,1,4,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,1,"LA CONTAMINACIÓN EN LOCALIDAD",1,10,10,5,10,7,10,3,10,4,10,10,6,2,4,7,3,7,7,7,1,10,4,1,2,10,10,10,4,10,3,6,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,1,2,10,10,10,4,1,1,1,2,1,1,4,2,2,1,1,"EL TERREMOTO 2010",,,,2,3,3,2,3,4,5,4,4,6,3,7,6,2,"8",,2,7,3,1,2,4,,3,1,2,1,2,3,4,4,1,2,,2,,1,,3,3,3,3,3,2,2,2,2,1,1,2,3,3,,1,2,1,,1,2,2,1,"AUN NO DECIDE",77,4,5,5,3,4,5,6,1,1,1,3,3,1,1,1,3,2,3,1,1,1,3,4,5,2,2,1,1,1,1,2,2,2,2,2,7,1,7,1,2,2,2,3,3,2,1,1,1,2,3,3,2,2,4,1,5,3,2,1,4,1,2,1,,,1,1,1,2,1,1,2,1,2,2,3,3,1.57365028190799,4,99,99,99,,1,,,
2451,3,8,1,4,2,54,4,,1,2,,7,1,1,2,3,3,3,2,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,5,5,5,5,18,1,5,7,2,2,6,5,5,5,6,6,2,6,5,5,2,3,3,3,3,1,1,3,3,1,7,8,1,7,8,8,8,7,7,5,5,4,5,5,5,5,2,,2,2,1,1,1,2,1,1,1,2,2,2,4,4,4,2,3,4,3,1,2,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,,2,6,6,5,6,6,6,6,6,4,6,6,5,1,4,4,4,5,5,4,2,4,5,1,2,5,7,6,7,7,6,7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,3,3,3,3,2,2,3,3,3,2,2,3,6,6,7,6,2,2,1,2,1,1,2,2,1,1,2,"EL TERREMOTO 2010",,,,1,3,3,3,1,4,7,5,5,4,2,7,6,2,"9",,2,6,3,2,2,3,,5,3,1,3,3,3,3,3,5,5,5,6,1,1,,,,3,3,3,3,1,3,2,2,1,3,3,3,,,2,1,,1,2,2,5,"NO ESPECIFICA",77,4,5,6,5,5,5,4,3,3,3,3,3,2,3,3,4,5,4,1,6,1,6,5,6,5,5,1,1,2,1,3,2,3,2,1,6,2,7,2,1,3,3,1,3,2,2,2,2,2,3,3,3,3,4,2,1,3,2,2,4,7,,2,4,3,1,1,2,1,1,2,2,2,2,2,1,3,1.57365028190799,4,99,99,99,,1,,,
2456,3,8,1,2,1,54,3,4,7,1,1,1,1,1,1,2,2,1,2,3,3,3,1,1,1,1,4,4,4,2,3,3,3,4,3,3,5,6,6,6,5,5,4,5,6,6,6,7,6,6,5,5,6,6,5,5,5,3,1,5,3,2,2,3,4,6,7,,6,6,5,5,5,1,2,1,3,3,1,2,2,5,2,5,7,2,5,3,4,5,7,7,6,2,2,7,7,6,6,2,,1,2,1,1,1,1,1,1,2,2,2,1,2,4,4,2,2,4,2,2,1,2,2,2,2,3,1,1,1,1,2,1,1,1,1,1,3,2,1,2,2,2,1,2,2,2,2,2,,,1,8,5,2,2,3,2,3,4,3,7,3,5,2,4,4,3,4,5,6,1,5,5,1,2,5,8,10,5,5,5,6,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,3,3,3,3,2,2,3,7,6,9,3,1,2,2,2,1,2,2,2,1,2,2,"EL TERRORISMO EN GENERAL","EL NACIMIENTO DE MI HIJO","LA DESIGUALDAD EN EL MUNDO",,3,3,3,4,3,3,5,7,6,3,3,7,7,4,"NELSON MANDELA","PORQUE LUCHO POR LA IGUALDAD ENTRE NEGROS Y BLANCOS",1,5,3,2,3,2,5,3,1,1,3,1,2,2,2,2,2,2,1,,1,,3,2,2,2,3,1,1,2,1,1,1,1,1,3,,2,2,1,,1,1,1,1,"MARCO OMINAMI",10,3,5,5,3,4,4,2,1,1,1,2,2,2,1,1,4,3,3,2,5,2,5,4,6,6,5,2,2,1,2,3,3,3,3,2,6,1,7,1,1,2,2,3,3,4,4,2,2,2,2,2,3,2,2,2,,2,1,2,3,1,2,1,,,1,2,1,1,1,1,1,1,2,2,5,2,1.6080516507455,4,11,4,4,2,8,12,8,
2464,3,8,1,4,2,45,3,3,6,2,,5,2,,2,2,2,2,2,1,1,2,1,1,1,3,4,4,4,3,3,3,3,2,2,1,2,6,4,4,4,4,4,1,1,5,4,4,5,5,3,3,2,3,2,3,3,2,3,6,8,1,1,8,6,7,6,5,6,7,6,6,6,2,1,1,1,1,1,1,1,4,1,8,8,2,6,5,6,8,7,7,7,2,2,7,7,7,5,1,7,2,2,1,1,2,2,2,1,1,1,1,2,2,5,5,5,3,4,5,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,,2,5,1,1,1,1,1,1,3,2,6,2,5,2,4,4,7,7,5,6,2,6,7,2,1,6,8,8,5,5,5,9,6,7,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,10,6,9,3,1,1,1,1,1,1,1,3,5,2,2,"LAS GUERRAS EN DISTINTOS PAISES","POBREZA EXTREMA EN SIRIA","TERREMOTO Y TSUNAMI","NADA MAS",3,,1,2,1,4,5,5,6,2,3,6,7,3,"MICHELLE BACHELET","PORQUE ACTUA AL FAVOR DE LOS POBRES Y NO DE LOS RICOS",2,8,1,1,1,4,,5,3,1,1,4,4,4,3,4,3,5,6,1,1,,6,6,2,1,3,2,2,3,2,1,1,2,3,3,,,4,1,,1,2,1,1,"N/R",77,4,5,4,5,4,5,5,1,1,2,2,2,1,1,1,5,4,5,2,6,2,6,6,7,6,6,2,2,2,2,,,,,,8,1,8,1,2,3,2,6,3,5,2,1,2,2,2,2,2,2,1,2,5,3,1,1,4,1,2,1,,,1,1,1,2,2,2,1,2,2,2,3,2,1.57365028190799,4,1,3,3,2,10,10,1,
2480,3,8,1,3,1,46,7,,1,2,,3,1,1,1,3,3,3,2,1,3,4,4,4,4,4,4,4,4,3,3,3,4,4,2,2,6,5,4,5,3,3,3,1,2,2,4,3,3,2,1,4,2,5,5,6,6,1,2,7,3,2,2,2,5,5,3,5,3,3,3,3,3,3,3,1,3,1,1,1,3,1,2,5,10,1,10,9,9,9,5,5,9,5,6,6,6,7,7,1,6,1,3,2,2,1,2,1,2,1,1,1,2,3,3,4,4,2,2,5,2,2,2,2,4,1,1,3,3,3,3,3,3,1,3,3,1,2,2,1,2,1,2,2,2,1,1,2,2,2,,3,10,3,3,3,5,3,3,10,2,10,2,2,2,6,6,5,3,6,4,3,5,8,2,1,8,8,9,9,3,3,10,5,6,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,3,3,3,3,3,1,3,3,3,3,4,3,4,8,8,8,1,2,2,2,2,2,2,2,4,2,2,2,"TERREMOTO",,,,1,3,4,2,1,7,7,7,5,6,3,7,7,3,"8",,2,2,1,2,2,3,,3,3,1,3,4,4,4,4,4,4,4,6,1,1,,6,6,3,3,3,3,1,2,1,1,1,1,3,3,,1,3,2,2,2,2,2,1,"NO ESPECIFICA",77,1,5,5,4,5,6,3,3,3,3,3,3,3,3,3,6,3,2,2,7,2,6,2,6,2,2,2,2,2,2,,,,,,10,2,2,2,2,2,3,5,3,4,2,2,4,2,3,3,2,2,3,3,2,3,2,1,5,2,1,1,,,1,1,2,2,1,2,1,2,2,2,3,4,1.6080516507455,4,99,99,99,,1,,,
2491,3,8,1,2,2,53,3,3,8,1,1,1,1,1,2,3,2,2,1,1,1,2,3,2,3,3,4,4,4,1,3,3,4,4,2,3,5,6,5,6,6,5,5,6,6,7,6,5,4,4,5,5,6,5,5,5,6,,,2,1,3,3,1,1,1,1,2,1,1,4,5,5,2,2,1,2,1,1,2,2,5,2,3,8,1,10,10,10,9,9,8,8,1,1,1,1,2,2,2,,1,3,1,1,1,1,1,1,1,1,1,2,3,5,5,3,2,5,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,2,1,1,2,1,,,1,8,9,8,7,7,7,8,9,9,9,8,5,1,2,2,4,4,5,5,2,9,7,2,2,4,8,4,5,5,5,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,3,3,3,3,3,3,3,3,2,2,3,6,7,6,6,2,2,1,2,3,3,3,3,2,2,2,"GOBIERNO 73","VALENTIA DE LOS CIUDADANOS","MUERTE DE MUCHOS CHILENOS INOCENTES",,2,2,2,2,3,8,7,7,4,6,3,5,5,3,"BACHELET","PORQUE ES DOCTORA Y UPO DAR UN POCOD E IGUALDAD Y PREOCUPACIÓN POR LOS CHILENOS",2,7,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,2,,1,,2,2,3,1,3,1,1,3,1,1,1,1,2,3,,1,3,1,,1,2,1,1,"BACHELET",12,3,5,5,3,4,5,5,1,1,1,2,2,2,1,1,5,6,5,2,3,1,5,4,4,5,4,2,2,2,2,,,,,,7,2,6,1,2,2,2,6,2,5,4,4,2,2,2,2,2,2,2,3,4,3,2,2,3,5,2,2,8,10,1,1,1,1,1,1,1,1,1,2,4,1,1.57365028190799,4,1,3,3,1,2,7,8,
2501,3,5,1,3,2,48,4,,4,1,1,1,1,1,1,2,3,3,3,1,3,4,4,4,3,3,4,4,4,1,4,3,3,4,3,4,2,3,5,6,6,2,1,1,1,2,3,3,2,2,3,1,1,2,2,2,2,4,1,2,5,3,3,2,1,1,1,1,1,1,1,1,1,,2,3,2,2,3,2,2,2,2,1,7,1,8,7,9,5,5,10,10,3,3,5,5,6,6,2,,1,3,1,2,1,3,3,3,2,1,2,1,1,3,3,2,1,2,3,1,1,1,3,3,1,1,1,1,3,3,3,3,1,4,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,3,10,5,6,2,3,1,2,2,1,1,3,2,1,5,4,4,5,6,5,1,9,4,2,2,10,5,8,5,5,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,6,3,3,3,4,2,3,2,3,4,3,4,"PERIDODO DE PINOCHET","VOLVER A LA DEMOCRACIA",,,2,2,,2,3,5,4,7,1,6,2,5,6,3,"9",,2,1,2,3,,4,,5,2,2,3,4,4,4,4,5,5,5,1,,1,,,5,3,3,3,3,3,3,3,3,3,3,3,3,,,4,1,,2,2,2,1,"BACHELET",10,3,6,3,1,3,6,5,3,3,1,1,2,1,2,3,7,4,3,2,6,1,3,3,5,4,4,1,2,2,2,3,2,3,3,2,4,2,4,1,2,3,3,5,2,5,1,1,2,5,4,4,4,3,3,3,1,2,1,1,3,1,2,2,4,4,1,1,1,1,1,1,1,1,2,2,2,2,0.558797832199842,2,99,99,99,,4,5,,
2504,3,13,1,3,1,53,6,,7,1,1,1,1,1,2,3,1,3,3,1,4,4,1,4,2,4,4,4,4,2,3,3,3,3,3,2,3,6,6,6,6,4,3,1,1,4,4,4,3,4,4,4,2,4,4,4,2,5,1,8,3,2,1,5,5,2,2,3,3,2,3,5,2,3,3,1,1,1,1,1,3,3,2,3,10,1,3,10,10,10,10,10,10,1,1,7,7,7,4,2,,1,3,1,1,1,,1,1,1,1,,2,3,3,4,2,2,4,3,2,2,2,3,4,1,1,3,3,1,3,3,4,1,1,3,1,1,2,1,2,1,2,2,2,2,1,2,1,,,1,5,1,1,1,1,10,1,10,1,1,1,1,1,7,1,5,7,7,7,1,10,6,2,2,7,7,5,6,5,4,10,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,3,3,3,4,3,4,10,10,5,5,2,2,2,,2,2,4,3,3,2,2,"88","88","88","88",1,,,3,3,,,,,,4,1,,3,"9",,2,1,3,2,,4,,5,3,2,3,4,4,4,4,4,4,3,6,1,1,,3,3,8,2,3,8,2,3,2,2,2,2,3,3,,1,4,2,,2,1,1,5,"NO SABE",77,4,4,4,5,5,5,5,1,1,2,2,3,1,1,1,5,4,4,2,1,1,5,4,4,4,5,2,1,2,2,3,2,2,2,1,5,2,5,2,1,,3,4,2,4,4,2,1,4,2,2,2,2,2,2,1,3,2,3,4,1,2,1,,,1,1,2,2,1,2,2,1,2,2,,2,1.0661426849698,3,99,99,99,,,,,
